,names,party,district,role,people_id,committee_sponsor,all_sponsored_bills_count,unspecified_sponsored_bills_count,primary_sponsored_bills_count,co_sponsored_bills_count,joint_sponsored_bills_count,all_sponsored_bills,unspecified_sponsored_bills,primary_sponsored_bills,co_sponsored_bills,joint_sponsored_bills,all_sponsored_bills_status,unspecified_sponsored_bills_status,primary_sponsored_bills_status,co_sponsored_bills_status,joint_sponsored_bills_status,all_sponsored_bills_passed,unspecified_sponsored_bills_passed,primary_sponsored_bills_passed,co_sponsored_bills_passed,joint_sponsored_bills_passed,all_sponsored_bills_avg,unspecified_sponsored_bills_avg,primary_sponsored_bills_avg,co_sponsored_bills_avg,joint_sponsored_bills_avg
10,Economic Matters,No Party,No District,Rep,15420,1,9,0,8,1,0,"[1062464, 1062468, 1062511, 1062499, 1062507, 1062503, 1072394, 1075334, 1078894]",[],"[1062464, 1062468, 1062511, 1062499, 1062507, 1062503, 1072394, 1078894]",[1075334],[],"[4, 4, 4, 4, 4, 4, 1, 4, 4]",[],"[4, 4, 4, 4, 4, 4, 1, 4]",[4],[],8,0,7,1,0,0.8888888888888888,0.0,0.875,1.0,0.0
11,Finance,No Party,No District,Sen,15415,1,18,0,18,0,0,"[1036462, 1036365, 1036392, 1036455, 1036433, 1036442, 1036396, 1036398, 1036454, 1036493, 1036359, 1036463, 1036439, 1036409, 1036457, 1036438, 1036443, 1036508]",[],"[1036462, 1036365, 1036392, 1036455, 1036433, 1036442, 1036396, 1036398, 1036454, 1036493, 1036359, 1036463, 1036439, 1036409, 1036457, 1036438, 1036443, 1036508]",[],[],"[2, 4, 2, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4]",[],"[2, 4, 2, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4]",[],[],15,0,15,0,0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.0
12,Budget and Taxation,No Party,No District,Sen,15416,1,6,0,6,0,0,"[1036494, 1036377, 1036353, 1036405, 1036376, 1083077]",[],"[1036494, 1036377, 1036353, 1036405, 1036376, 1083077]",[],[],"[1, 4, 4, 4, 4, 4]",[],"[1, 4, 4, 4, 4, 4]",[],[],5,0,5,0,0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.0
13,St. Mary's County Delegation,No Party,No District,Rep,15488,1,6,0,6,0,0,"[1058103, 1058109, 1058998, 1059468, 1065110, 1068430]",[],"[1058103, 1058109, 1058998, 1059468, 1065110, 1068430]",[],[],"[4, 4, 4, 1, 4, 4]",[],"[4, 4, 4, 1, 4, 4]",[],[],5,0,5,0,0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.0
14,Judicial Proceedings,No Party,No District,Sen,15413,1,10,0,10,0,0,"[1036352, 1036408, 1036391, 1036492, 1036510, 1036498, 1036503, 1036456, 1036478, 1069842]",[],"[1036352, 1036408, 1036391, 1036492, 1036510, 1036498, 1036503, 1036456, 1036478, 1069842]",[],[],"[4, 4, 4, 4, 4, 4, 4, 4, 2, 1]",[],"[4, 4, 4, 4, 4, 4, 4, 4, 2, 1]",[],[],8,0,8,0,0,0.8,0.0,0.8,0.0,0.0
15,Harford County Delegation,No Party,No District,Rep,15937,1,10,0,10,0,0,"[1077171, 1077124, 1077166, 1077087, 1080746, 1080821, 1080844, 1080805, 1083152, 1085050]",[],"[1077171, 1077124, 1077166, 1077087, 1080746, 1080821, 1080844, 1080805, 1083152, 1085050]",[],[],"[2, 4, 4, 4, 4, 2, 4, 4, 4, 4]",[],"[2, 4, 4, 4, 4, 2, 4, 4, 4, 4]",[],[],8,0,8,0,0,0.8,0.0,0.8,0.0,0.0
16,Sally Jameson,D,HD-028,Rep,4658,0,47,0,5,42,0,"[1036197, 1036234, 1036240, 1036264, 1061025, 1062543, 1062510, 1065085, 1066904, 1066857, 1066902, 1066893, 1069894, 1072398, 1072336, 1072352, 1073035, 1073095, 1073939, 1073938, 1075308, 1077017, 1077010, 1080709, 1081669, 1083115, 1083057, 1083984, 1084069, 1083997, 1084008, 1085083, 1085207, 1085111, 1085292, 1085051, 1084858, 1084879, 1084914, 1084980, 1085161, 1085066, 1085173, 1090815, 1062466, 1081741, 1085245]",[],"[1036234, 1036264, 1072336, 1072352, 1083984]","[1036197, 1036240, 1061025, 1062543, 1062510, 1065085, 1066904, 1066857, 1066902, 1066893, 1069894, 1072398, 1073035, 1073095, 1073939, 1073938, 1075308, 1077017, 1077010, 1080709, 1081669, 1083115, 1083057, 1084069, 1083997, 1084008, 1085083, 1085207, 1085111, 1085292, 1085051, 1084858, 1084879, 1084914, 1084980, 1085161, 1085066, 1085173, 1090815, 1062466, 1081741, 1085245]",[],"[4, 4, 1, 4, 1, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 1, 4, 4, 1, 1, 4, 1, 4, 1, 4, 1, 1, 4, 4, 4, 1, 1, 4, 4, 1, 2, 4, 4, 4, 4, 4, 4, 4, 2, 1, 3, 2]",[],"[4, 4, 4, 1, 4]","[4, 1, 1, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 1, 1, 4, 1, 4, 1, 4, 1, 1, 4, 4, 1, 1, 4, 4, 1, 2, 4, 4, 4, 4, 4, 4, 4, 2, 1, 3, 2]",[],29,0,4,25,0,0.6170212765957447,0.0,0.8,0.5952380952380952,0.0
17,Edward Kasemeyer,D,SD-012,Sen,4697,0,58,0,14,44,0,"[1036472, 1058099, 1061034, 1062483, 1066911, 1068437, 1068415, 1069860, 1069827, 1069915, 1069796, 1069813, 1069908, 1071377, 1071283, 1072371, 1073075, 1075336, 1075327, 1075263, 1075275, 1077012, 1077115, 1077021, 1077153, 1077046, 1078946, 1078901, 1080860, 1080738, 1080876, 1080815, 1080843, 1080887, 1080769, 1081787, 1081661, 1081596, 1081702, 1081627, 1081819, 1081643, 1083122, 1088102, 1090865, 1090838, 1090853, 1090783, 1090849, 1092943, 1093531, 1094156, 1095747, 1095735, 1104408, 1105449, 1069818, 1094140]",[],"[1036472, 1061034, 1068437, 1069827, 1069813, 1077046, 1081596, 1081702, 1090838, 1090783, 1090849, 1093531, 1094156, 1095735]","[1058099, 1062483, 1066911, 1068415, 1069860, 1069915, 1069796, 1069908, 1071377, 1071283, 1072371, 1073075, 1075336, 1075327, 1075263, 1075275, 1077012, 1077115, 1077021, 1077153, 1078946, 1078901, 1080860, 1080738, 1080876, 1080815, 1080843, 1080887, 1080769, 1081787, 1081661, 1081627, 1081819, 1081643, 1083122, 1088102, 1090865, 1090853, 1092943, 1095747, 1104408, 1105449, 1069818, 1094140]",[],"[4, 5, 4, 1, 4, 4, 2, 2, 4, 4, 1, 4, 4, 1, 4, 4, 4, 1, 2, 1, 4, 4, 4, 4, 1, 1, 4, 4, 5, 4, 2, 4, 4, 1, 1, 4, 2, 4, 4, 4, 4, 4, 4, 1, 4, 1, 1, 4, 4, 4, 1, 1, 4, 4, 4, 4, 1, 2]",[],"[4, 4, 4, 4, 4, 1, 4, 4, 1, 4, 4, 1, 1, 4]","[5, 1, 4, 2, 2, 4, 1, 4, 1, 4, 4, 4, 1, 2, 1, 4, 4, 4, 4, 1, 4, 4, 5, 4, 2, 4, 4, 1, 1, 4, 2, 4, 4, 4, 4, 1, 4, 1, 4, 4, 4, 4, 1, 2]",[],35,0,10,25,0,0.603448275862069,0.0,0.7142857142857143,0.5681818181818182,0.0
18,Calvert County Delegation,No Party,No District,Rep,15776,1,16,0,16,0,0,"[1071358, 1071380, 1073111, 1077161, 1077128, 1077147, 1077050, 1083018, 1083073, 1083071, 1083134, 1084988, 1085253, 1085162, 1084845, 1084992]",[],"[1071358, 1071380, 1073111, 1077161, 1077128, 1077147, 1077050, 1083018, 1083073, 1083071, 1083134, 1084988, 1085253, 1085162, 1084845, 1084992]",[],[],"[4, 4, 4, 1, 4, 4, 4, 1, 4, 1, 4, 4, 4, 1, 4, 1]",[],"[4, 4, 4, 1, 4, 4, 4, 1, 4, 1, 4, 4, 4, 1, 4, 1]",[],[],11,0,11,0,0,0.6875,0.0,0.6875,0.0,0.0
19,Harford County Senators,No Party,No District,Sen,17431,1,3,0,3,0,0,"[1036364, 1071372, 1071330]",[],"[1036364, 1071372, 1071330]",[],[],"[4, 1, 4]",[],"[4, 1, 4]",[],[],2,0,2,0,0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0
20,Talmadge Branch,D,HD-045,Rep,4602,0,46,0,6,40,0,"[1036197, 1059002, 1058988, 1059015, 1061025, 1062510, 1066904, 1066902, 1066867, 1066868, 1069894, 1072360, 1072352, 1072363, 1073099, 1073139, 1073931, 1075319, 1075252, 1075271, 1077017, 1078970, 1078887, 1080841, 1081717, 1083038, 1083147, 1083056, 1083051, 1083978, 1084069, 1084006, 1084022, 1084014, 1085230, 1084918, 1084919, 1085111, 1085051, 1085227, 1084980, 1085287, 1085161, 1085173, 1088100, 1090815]",[],"[1059002, 1073931, 1083038, 1083147, 1083051, 1088100]","[1036197, 1058988, 1059015, 1061025, 1062510, 1066904, 1066902, 1066867, 1066868, 1069894, 1072360, 1072352, 1072363, 1073099, 1073139, 1075319, 1075252, 1075271, 1077017, 1078970, 1078887, 1080841, 1081717, 1083056, 1083978, 1084069, 1084006, 1084022, 1084014, 1085230, 1084918, 1084919, 1085111, 1085051, 1085227, 1084980, 1085287, 1085161, 1085173, 1090815]",[],"[4, 4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 1, 1, 1, 2, 4, 4, 1, 4, 4, 1, 4, 1, 5, 1, 4, 1, 1, 4, 2, 4, 1, 2, 4, 4, 4, 5, 4, 2, 4, 4, 4, 4, 4, 1, 2]",[],"[4, 4, 4, 1, 4, 1]","[4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 1, 1, 1, 2, 4, 1, 4, 4, 1, 4, 1, 5, 1, 1, 2, 4, 1, 2, 4, 4, 4, 5, 4, 2, 4, 4, 4, 4, 4, 2]",[],26,0,4,22,0,0.5652173913043478,0.0,0.6666666666666666,0.55,0.0
21,Joseline Pena-Melnyk,D,HD-021,Rep,4561,0,198,0,15,183,0,"[1036197, 1036263, 1036212, 1036225, 1058104, 1059004, 1059478, 1061025, 1062494, 1062548, 1062490, 1065104, 1065090, 1065027, 1066857, 1066915, 1066860, 1066906, 1066902, 1066868, 1066893, 1069930, 1069894, 1069929, 1069843, 1069858, 1069902, 1069888, 1069899, 1071282, 1071279, 1071308, 1072398, 1072383, 1072333, 1072346, 1072320, 1072363, 1072366, 1072367, 1073110, 1073142, 1073080, 1073042, 1073099, 1073078, 1073070, 1073139, 1073953, 1073930, 1073937, 1073936, 1073941, 1073929, 1073957, 1073935, 1075332, 1075353, 1075261, 1075324, 1075304, 1075308, 1075293, 1075310, 1075328, 1075235, 1077096, 1077038, 1077017, 1077089, 1077156, 1077049, 1077066, 1077104, 1077060, 1077077, 1077102, 1077026, 1077135, 1077146, 1077148, 1078970, 1078896, 1078971, 1078973, 1078907, 1080849, 1080867, 1080813, 1080797, 1080774, 1080841, 1080755, 1080761, 1080750, 1080850, 1080702, 1080785, 1080872, 1081621, 1081671, 1081612, 1081634, 1081791, 1081649, 1081749, 1081687, 1081717, 1083131, 1083045, 1083061, 1083044, 1083056, 1083057, 1083063, 1083101, 1083059, 1083148, 1083112, 1083087, 1083022, 1083019, 1084018, 1084066, 1084005, 1084001, 1084082, 1084075, 1084006, 1084022, 1084050, 1084095, 1083997, 1084064, 1084084, 1083972, 1084057, 1084003, 1083993, 1083973, 1085230, 1084918, 1085234, 1085105, 1085229, 1085207, 1085289, 1085098, 1085251, 1084889, 1085232, 1085209, 1085136, 1085056, 1085242, 1085170, 1085039, 1085111, 1085125, 1085092, 1084975, 1085008, 1085088, 1085189, 1085216, 1085086, 1085051, 1084973, 1084970, 1085090, 1084870, 1084864, 1085200, 1084980, 1085150, 1085218, 1084982, 1085060, 1084926, 1085271, 1085161, 1084935, 1085244, 1089458, 1089423, 1090815, 1094131, 1095164, 1095154, 1095742, 1097851, 1100797, 1101455, 1109487, 1110575, 1062466, 1085277, 1085245]",[],"[1036212, 1075304, 1075308, 1075310, 1077135, 1080761, 1084006, 1084022, 1084050, 1084064, 1085136, 1085170, 1085189, 1097851, 1100797]","[1036197, 1036263, 1036225, 1058104, 1059004, 1059478, 1061025, 1062494, 1062548, 1062490, 1065104, 1065090, 1065027, 1066857, 1066915, 1066860, 1066906, 1066902, 1066868, 1066893, 1069930, 1069894, 1069929, 1069843, 1069858, 1069902, 1069888, 1069899, 1071282, 1071279, 1071308, 1072398, 1072383, 1072333, 1072346, 1072320, 1072363, 1072366, 1072367, 1073110, 1073142, 1073080, 1073042, 1073099, 1073078, 1073070, 1073139, 1073953, 1073930, 1073937, 1073936, 1073941, 1073929, 1073957, 1073935, 1075332, 1075353, 1075261, 1075324, 1075293, 1075328, 1075235, 1077096, 1077038, 1077017, 1077089, 1077156, 1077049, 1077066, 1077104, 1077060, 1077077, 1077102, 1077026, 1077146, 1077148, 1078970, 1078896, 1078971, 1078973, 1078907, 1080849, 1080867, 1080813, 1080797, 1080774, 1080841, 1080755, 1080750, 1080850, 1080702, 1080785, 1080872, 1081621, 1081671, 1081612, 1081634, 1081791, 1081649, 1081749, 1081687, 1081717, 1083131, 1083045, 1083061, 1083044, 1083056, 1083057, 1083063, 1083101, 1083059, 1083148, 1083112, 1083087, 1083022, 1083019, 1084018, 1084066, 1084005, 1084001, 1084082, 1084075, 1084095, 1083997, 1084084, 1083972, 1084057, 1084003, 1083993, 1083973, 1085230, 1084918, 1085234, 1085105, 1085229, 1085207, 1085289, 1085098, 1085251, 1084889, 1085232, 1085209, 1085056, 1085242, 1085039, 1085111, 1085125, 1085092, 1084975, 1085008, 1085088, 1085216, 1085086, 1085051, 1084973, 1084970, 1085090, 1084870, 1084864, 1085200, 1084980, 1085150, 1085218, 1084982, 1085060, 1084926, 1085271, 1085161, 1084935, 1085244, 1089458, 1089423, 1090815, 1094131, 1095164, 1095154, 1095742, 1101455, 1109487, 1110575, 1062466, 1085277, 1085245]",[],"[4, 4, 1, 4, 2, 4, 4, 1, 1, 4, 4, 4, 4, 1, 4, 4, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 1, 1, 2, 1, 4, 1, 2, 1, 4, 1, 4, 5, 1, 1, 4, 2, 2, 1, 1, 4, 4, 1, 1, 1, 2, 4, 4, 1, 1, 1, 1, 2, 4, 4, 1, 4, 4, 4, 4, 1, 1, 4, 1, 2, 2, 1, 4, 4, 4, 4, 4, 1, 4, 4, 1, 4, 2, 4, 4, 1, 1, 2, 1, 5, 2, 4, 4, 1, 1, 4, 1, 1, 4, 4, 4, 1, 4, 1, 1, 1, 4, 4, 1, 1, 1, 1, 4, 2, 4, 4, 4, 1, 1, 1, 4, 2, 1, 1, 1, 4, 1, 2, 1, 1, 4, 4, 4, 1, 2, 1, 4, 5, 4, 4, 1, 1, 4, 4, 2, 1, 4, 4, 4, 4, 4, 1, 1, 4, 4, 4, 1, 1, 1, 4, 4, 1, 1, 2, 2, 1, 4, 4, 1, 2, 4, 4, 2, 1, 1, 4, 1, 1, 4, 2, 1, 4, 4, 2, 1, 2, 1, 4, 4, 4, 2, 1, 1, 1, 1, 2]",[],"[1, 4, 4, 4, 4, 4, 1, 2, 1, 4, 4, 4, 1, 4, 4]","[4, 4, 4, 2, 4, 4, 1, 1, 4, 4, 4, 4, 1, 4, 4, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 1, 1, 2, 1, 4, 1, 2, 1, 4, 1, 4, 5, 1, 1, 4, 2, 2, 1, 1, 4, 4, 1, 1, 1, 2, 4, 4, 1, 1, 1, 1, 2, 1, 4, 4, 4, 1, 1, 4, 1, 2, 2, 1, 4, 4, 4, 4, 1, 4, 4, 1, 4, 2, 4, 4, 1, 1, 2, 1, 5, 2, 4, 1, 1, 4, 1, 1, 4, 4, 4, 1, 4, 1, 1, 1, 4, 4, 1, 1, 1, 1, 4, 2, 4, 4, 4, 1, 1, 1, 4, 2, 1, 1, 1, 4, 1, 4, 4, 1, 2, 1, 4, 5, 4, 4, 1, 1, 4, 4, 2, 1, 4, 4, 4, 4, 1, 1, 4, 4, 1, 1, 1, 4, 4, 1, 2, 2, 1, 4, 4, 1, 2, 4, 4, 2, 1, 1, 4, 1, 1, 4, 2, 1, 4, 4, 2, 1, 2, 1, 4, 2, 1, 1, 1, 1, 2]",[],90,0,10,80,0,0.45454545454545453,0.0,0.6666666666666666,0.4371584699453552,0.0
22,Environment and Transportation,No Party,No District,Rep,17629,1,6,0,6,0,0,"[1065041, 1065066, 1065071, 1065113, 1065107, 1075334]",[],"[1065041, 1065066, 1065071, 1065113, 1065107, 1075334]",[],[],"[4, 4, 1, 1, 4, 4]",[],"[4, 4, 1, 1, 4, 4]",[],[],4,0,4,0,0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0
23,Carroll County Delegation,No Party,No District,Rep,15483,1,11,0,11,0,0,"[1073129, 1073037, 1073023, 1073067, 1073928, 1073952, 1075335, 1080789, 1081745, 1083120, 1083081]",[],"[1073129, 1073037, 1073023, 1073067, 1073928, 1073952, 1075335, 1080789, 1081745, 1083120, 1083081]",[],[],"[4, 4, 1, 4, 4, 2, 4, 1, 4, 1, 4]",[],"[4, 4, 1, 4, 4, 2, 4, 1, 4, 1, 4]",[],[],7,0,7,0,0,0.6363636363636364,0.0,0.6363636363636364,0.0,0.0
24,Cecil County Delegation,No Party,No District,Rep,15784,1,5,0,5,0,0,"[1065050, 1069846, 1069932, 1069887, 1078935]",[],"[1065050, 1069846, 1069932, 1069887, 1078935]",[],[],"[4, 4, 1, 4, 1]",[],"[4, 4, 1, 4, 1]",[],[],3,0,3,0,0,0.6,0.0,0.6,0.0,0.0
